id,slug,title,difficulty,category,tags,sim_config,estimated_time,n_constraints,n_examples,n_targets,targets,has_solution,url,description
1,stable-partition-branches,Stable Partition for Predictable Branches,Easy,Branch Prediction,bimodal | stable partition | amortized,Bimodal BP · 4-wide OoO · 32KB L1,~8s,5,1,2,Branch MPKI<1.5 | IPC>2.6,True,https://www.leetcpu.com/#/problem/stable-partition-branches,"You must answer the same threshold query 100 times on an array of 100,000 integers.

In the baseline, each pass scans the original random-order array. Because the branch `arr[i] > 128` is nearly 50/50 on random data, the bimodal branch predictor mispredicts often.

You may preprocess the array once before the 100 passes begin. Reorder the data so the hot branch becomes easy to predict, while keeping exactly the same values and final sum as the reference implementation."
2,matrix-multiply-tiling,Matrix Multiply — Cache Tiling,Easy,Cache Locality,L1/L2 | loop tiling | transpose,TAGE BP · 4-wide OoO · 48KB L1,~10s,5,1,3,L1 MPKI<5 | IPC>2 | LLC MPKI<1,True,https://www.leetcpu.com/#/problem/matrix-multiply-tiling,"Multiply two row-major 512×512 float matrices: `C = A × B`.

The baseline reads rows of `A` but walks down columns of `B`, which gives poor spatial locality and creates avoidable cache misses.

Rewrite the loop nest with blocking, transposition, or both so the inner loops read memory in a cache-friendly order."
3,reduction-tree-ilp,Reduction Tree — Break Dependency Chains,Medium,ILP / Pipeline,OoO | unroll | multiple accumulators,TAGE · 8-wide OoO · ROB=512,~9s,4,1,2,IPC>3.5 | Branch MPKI<0.5,True,https://www.leetcpu.com/#/problem/reduction-tree-ilp,"Sum 100,000 floating-point values.

The baseline uses one running accumulator, so every addition depends on the previous one. That long dependency chain prevents the out-of-order core from overlapping many adds.

Restructure the reduction to create independent work, for example with multiple accumulators and loop unrolling, while staying within the allowed floating-point tolerance."
4,interleaved-pointer-chasing,Pointer Chasing — Recover Memory Parallelism,Medium,Memory Parallelism,MLP | linked list | latency hiding,IP-stride prefetch · 16MB LLC,~12s,4,1,3,LLC MPKI<2 | IPC>1.8 | L1 MPKI<8,True,https://www.leetcpu.com/#/problem/interleaved-pointer-chasing,"You must sum the values stored in 8 independent linked lists, each containing 125,000 nodes.

The baseline finishes one list before moving to the next. That creates one long chain of dependent cache misses, so the CPU often sits idle waiting for memory.

Change the traversal order so misses from different lists can overlap and the core can exploit more memory-level parallelism."
5,bottleneck-triage,Bottleneck Triage — Diagnose and Fix,Hard,Diagnosis,counters | branch | cache | ILP,Perceptron BP · realistic config,~11s,5,0,3,IPC>3 | L1 MPKI<4 | Branch MPKI<2,True,https://www.leetcpu.com/#/problem/bottleneck-triage,"This workload is slow for several independent reasons.

Baseline metrics:
• IPC: 0.7  (target: > 3.0)
• L1 MPKI: 36.0  (target: < 4.0)
• Branch MPKI: 18.0  (target: < 2.0)

The starter code combines three different bottlenecks: poor locality, an unpredictable branch, and unnecessary dependency pressure. Use the counters, source, and assembly to identify those issues and rewrite the loop so all targets are met at the same time."
6,strided-sum-prefetch,Strided Sum — Hide Latency with Prefetch,Medium,Memory Parallelism,prefetch | stride-16 | latency hiding,ChampSim · stride prefetch · 4-wide OoO,~11s,5,1,3,IPC>1.9 | LLC MPKI<1.5 | L2 MPKI<3,True,https://www.leetcpu.com/#/problem/strided-sum-prefetch,"You must sum one integer from every 64-byte region of a large array.

The baseline reads `arr[i * 16]`, so each iteration pulls from a new cache line. That pattern easily turns into a latency-bound loop if the core waits for one miss at a time.

Use techniques such as software prefetching, unrolling, or multiple accumulators so several memory accesses can be in flight together."
7,bitset-popcount-throughput,Bitset Scan — Turn Scalar Loops into Throughput,Easy,ILP / Pipeline,popcount | bitset | throughput,ChampSim · wide integer backend · 8-wide OoO,~7s,4,1,2,IPC>3.8 | Branch MPKI<0.5,True,https://www.leetcpu.com/#/problem/bitset-popcount-throughput,"You must count all set bits in a large bitmap.

The baseline examines all 64 bit positions of every word with a scalar inner loop. That wastes instructions and underuses the CPU's dedicated population-count hardware.

Replace the bit-by-bit scan with a throughput-friendly approach that maps well to popcount instructions."
8,particle-struct-repacking,Particle Score — Repack Structs for Bandwidth,Medium,Cache Locality,AoS | SoA | bandwidth,ChampSim · 48KB L1D · bandwidth study,~10s,4,1,2,IPC>2.6 | L1 MPKI<4,True,https://www.leetcpu.com/#/problem/particle-struct-repacking,"Each particle stores four float fields in an array-of-structs layout. The computation only needs the expression `x*w + y*z` for every particle, but the baseline processes the array in a way that leaves bandwidth and instruction throughput on the table.

Repack the hot fields into a denser layout, or otherwise restructure the loop, so the CPU can stream data and arithmetic more efficiently."
9,image-blur-tiling,Image Blur — Tile the Working Set,Medium,Cache Locality,stencil | tiling | row reuse,ChampSim · 32KB L1D · stencil trace,~9s,4,1,3,IPC>2.4 | L1 MPKI<3.5 | LLC MPKI<0.6,True,https://www.leetcpu.com/#/problem/image-blur-tiling,"Apply a horizontal 3-tap blur to a 512×512 image.

The arithmetic per pixel is small, so performance depends mostly on keeping rows hot in cache and writing the output sequentially.

Rewrite the starter code with pointer arithmetic, tiling, unrolling, or similar loop improvements so the working set stays cache-friendly."
10,branchless-score-window,Score Window — Remove Unpredictable Branches,Easy,Branch Prediction,branchless | range check | hot loop,ChampSim · TAGE-SC-L · branch study,~7s,4,1,2,IPC>3 | Branch MPKI<1,True,https://www.leetcpu.com/#/problem/branchless-score-window,"A scoring loop must add only the values inside a target range.

The baseline uses two nested branches per element. When the input scores are spread roughly uniformly, those branches become hard to predict and hurt front-end throughput.

Rewrite the loop so the result stays exact but the hot path becomes much more predictable, ideally branchless."
